en,nl,disc,track
Why can’t you do it?,Varoom kun je het niet doen?,2,4
Why do you want to know that?,Varoom wil je dat weten?,2,4
I don’t know where it is,Ik wet niet waar het is,2,4
Necessary,Nodig.,2,5
It is necessary,Het is nodig,2,5
"That’s not necessary, is it?","Dat is niet nodig, he?",2,5
No.,Nee.,2,5
"No, that is not necessary.","Nee, daat is niet nodig.",2,5
"No, this is not necessary.","Nee, dit is niet nodig.",2,5
I have it.,Ik heb het,2,5
I need it.,Ik heb het nodig.,2,5
I don’t need it.,Ik heb het niet nodig.,2,5
We need it.,We hebben het nodig.,2,5
They need it.,Ze hebben het nodig.,2,5
Do they need it?,Hebben ze het nodig?,2,5
Do you need it?,Heb je het nodig?,2,5
Do I need it?,Heb ik het nodig?,2,5
Do I need that?,Heb ik dat nodig?,2,5
Yes.,Ja,2,5
"Yes, I need it.","Ja, ik heb het nodig.",2,5
"Yes, I need something.","Ja, ik heb iets nodig.",2,5
"No, I don’t need anything.","Nee, ik hab niets nodig.",2,5
I need you.,Ik heb je nodig.,2,5
I need him.,Ik heb hem nodig.,2,5
I need her.,Ik her her nodig.,2,5
Tomorrow.,Morgen.,2,6
It is for tomorrow.,Het is voor morgen.,2,6
I want to go tomorrow.,Ik wil morgen gaan.,2,6
I want to be here tomorrow.,Ik wil morgen hier zijn.,2,6
I can’t work tomorrow.,Ik kan morgen niet werken,2,6
I want to have it tomorrow because I need it.,Ik wil het morgen hebben want ik heb het nodig.,2,6
We want to have it tommorow because we need it.,We willen het morgen hebbent want we hebben het nodig.,2,6
They have to find it tomorrow.,Ze moeten het morgen vinden.,2,6
They have to do it tommorow.,Ze moeten het morgen doen.,2,6
Today.,Vandaag.,2,6
It’s for tomorrow.,Het is for vandaag.,2,6
It’s too warm today,Het is te warm vandaag.,2,6
It is too warm here.,Het is te warm hier.,2,6
I am doing it today.,Ik do het vandaag.,2,6
"They are working here today, aren’t they?","Ze werken hier vandaag, he?",2,6
I am not helping you today.,Ik help je vandaag niet.,2,6
It is necessary,Het is nodig.,2,6
It is not necessary.,Het is niet nodig.,2,6
Not today.,Vandaag niet.,2,6
"They have to do something, but not today.",Ze moeten iets doen maar vandaag niet.,2,6
They have to do something because it is necessary.,Ze moeten iets doen want het is nodig.,2,6
They have to find it now.,Ze moeten het nu vinden.,2,6
Later.,Later.,2,7
Late.,Laat.,2,7
It is too late.,Het is te laat.,2,7
It is too late today,Het is te laat vandaag.,2,7
They have to do it today.,Ze moeten het vandaag doen.,2,7
They have to do it today because it’s too late tomorrow.,Ze moeten het vandaag doen want het is te laat morgen.,2,7
What are you doing?,Wat doe je?,2,7
Why are you doing this?,Varoom doe je dit?,2,7
How,Hoe,2,7
Are you doing it?,Doe je het?,2,7
How do you do it?,Hoe doe je het?,2,7
How are you doing that?,Hoe doe je dat?,2,7
How are you coming?,Hoe kom je?,2,7
How late?,Hoe laat?,2,7
What time is it?,Hoe laat is het?,2,7
What time are you coming?,Hoe laat kom je?,2,7
What time do you want to eat?,Hoe laat wil je eten?,2,7
What time do you have to have it?,Hoe laat moet je het hebben?,2,7
What time do you have to be there?,Hoe laat moet je daar zijn?,2,7
What time do you want to be here tomorrow?,Hoe laat wil je hier morgen zijn?,2,7
What time are you coming tomorrow?,Hoe laat kom je morgen?,2,7
I’ll come tomorrow.,Ik kom morgen.,2,8
i’ll do it tomorrow.,Ik do het morgen.,2,8
I’ll do it later.,Ik do het laater,2,8
I want to do it later.,Ik wil het later doen.,2,8
I have to do it later.,Ik moet het later doen.,2,8
I will start later.,Ik begin later.,2,8
I want to start later.,Ik wil later begin.,2,8
We’ll be eating later today.,We eten later vandaag.,2,8
I’ll have it for you tomorrow.,Ik hab het vor je morgen / Ik hab het morgen vor je.,2,8
To phone.,Bellen.,2,8
I’ll phone you.,Ik bell je morgen.,2,8
I’ll phone her tomorrow.,Ik bell haar morgen.,2,8
Are you phoning tomorrow?,Bell je morgen?,2,8
Why are you phoning tomorrow?,Varoom bell je morgen?,2,8
We’re coming tomorrow.,We komen morgen.,2,8
Do you want to phone me tomorrow?,Wil je me morgen bellen?,2,9
To stay.,Blijven,2,9
We are staying,We blijven,2,9
"We are not staying, are we","We bliven niet, he?",2,9
Long.,Lang.,2,9
How long?,Hoe lang?,2,9
How long are we staying?,Hoe lang blijven we?,2,9
How long are we staying this afternoon?,Hoe lang blijven we von middag?,2,9
How long can you stay today?,Hoe lang kun je vandaag blijven.,2,9
To give.,Geven.,2,9
I give.,Ik geef.,2,9
I stay.,Ik blijf.,2,9
How long are you staying here?,Hoe lang blijf je hier?,2,9
How long are you staying there?,Hoe lang blijf je daar?,2,9
How long can you stay there?,Hoe lang kun je daar blijven?,2,9
How long do you want to stay there?,Hoe lang wil je daar blijven?,2,9
How long do you have to stay there?,Hoe lang moet je daar blijven?,2,9
Information,Informatie.,2,10
Situation,Situatie.,2,10
Operation,Operatie.,2,10
The.,De.,2,10
The information,De informatie.,2,10
I have the information,Ik heb de informatie.,2,10
I need the information,Ik heb de informatie nodig.,2,10
The situation is good.,De situatie is goed.,2,10
The operation is long.,De operatie is lang.,2,10
How long is the operation?,Hoe lang is de operatie?,2,10
What time is the operation?,Hoe laat is de operatie?,2,10
Reputation.,Reputatie.,2,10
Combination.,Combinatie.,2,10
The repuation.,De reputatie.,2,10
The combination.,De combinatie.,2,10
The inspiration.,De inspiratie.,2,10
He.,Hij.,2,11
He has.,Hij heeft.,2,11
I have.,Ik heb.,2,11
He has inspiration,Hij heeft inspiratie.,2,11
He has the combination.,Hij heeft de combinatie.,2,11
He needs inspiration.,Hij heeft inspiratie nodig.,2,11
She.,Ze.,2,11
They have.,Ze hebben.,2,11
She has.,Ze heeft.,2,11
It is.,Het is.,2,11
He has.,He heeft.,2,11
She has.,Ze heeft.,2,11
She has information for me.,Ze heeft informatie voor me.,2,11
The information is good.,De informatie is goed.,2,11
We have the combination.,We hebben de combinatie.,2,11
"The inspiration is very good, isn’t it.","De inspiratie is heel goed, he?",2,11
Bad.,Slecht.,2,11
The situation is bad.,De situatie is slecht.,2,11
The information is not bad.,De informatie is niet slecht.,2,11
The combination is not bad.,De combinatie is niet slecht.,2,11
That is bad information.,Dat is slechte informatie.,2,12
That is good.,Dat is goed.,2,12
That is good inspiration.,Dat is goede inspiratie.,2,12
A.,Een.,2,12
A good situation.,Een goede situatie.,2,12
A bad situation.,Een slecthe situatie.,2,12
That’s a bad situation.,Dat is een slecthe situatie.,2,12
It’s a good operation.,Dat is een goede operatie.,2,12
"It’s a long operation, isn’t it?","Het is een lange operatie, he?",2,12
I need a good combination.,"Ik heb een goede combinatie, nodig?",2,12
We want to have a good combination.,We willen een goede combinatie hebben.,2,12
We must have a good combination.,We moeten een goede combinatie hebben.,2,12
They must have a good combination.,Ze moeten een goede combinatie hebben ,2,12
Morning.,Morgen.,2,12
A good morning.,Een goede morgen.,2,12
Good morning.,Goedgemorgen.,2,12
,,2,12
,,2,12
,,2,12
,,2,12
,,2,12
